District,date,daily_rainfall_mm,progressive_rainfall_mm
Mumbai City Maharashtra,2025-06-01,6.2,6.2
Mumbai City Maharashtra,2025-06-02,1.6,7.8
Mumbai City Maharashtra,2025-06-03,0.4,8.2
Mumbai City Maharashtra,2025-06-04,5.4,13.6
Mumbai City Maharashtra,2025-06-05,16.0,29.6
Mumbai City Maharashtra,2025-06-06,0.0,29.6
Mumbai City Maharashtra,2025-06-07,11.8,41.4
Mumbai City Maharashtra,2025-06-08,41.0,82.4
Mumbai City Maharashtra,2025-06-09,0.0,82.4
Mumbai City Maharashtra,2025-06-10,1.4,83.8
Mumbai City Maharashtra,2025-06-11,0.0,83.8
Mumbai City Maharashtra,2025-06-12,0.1,83.9
Mumbai City Maharashtra,2025-06-13,18.2,102.1
Mumbai City Maharashtra,2025-06-14,25.4,127.5
Mumbai City Maharashtra,2025-06-15,33.6,161.1
Mumbai City Maharashtra,2025-06-16,100.4,261.5
Mumbai City Maharashtra,2025-06-17,62.9,324.4
Mumbai City Maharashtra,2025-06-18,6.8,331.2
Mumbai City Maharashtra,2025-06-19,142.6,473.8
Mumbai City Maharashtra,2025-06-20,1.0,474.8
Mumbai City Maharashtra,2025-06-21,1.0,475.8
Mumbai City Maharashtra,2025-06-22,2.0,477.8
Mumbai City Maharashtra,2025-06-23,6.2,484.0
Mumbai City Maharashtra,2025-06-24,61.2,545.2
Mumbai City Maharashtra,2025-06-25,0.0,545.2
Mumbai City Maharashtra,2025-06-26,3.0,548.2
Mumbai City Maharashtra,2025-06-27,14.6,562.8
Mumbai City Maharashtra,2025-06-28,22.8,585.6
Mumbai City Maharashtra,2025-06-29,5.8,591.4
Mumbai City Maharashtra,2025-06-30,0.6,592.0
Mumbai City Maharashtra,2025-07-01,6.4,598.4
Mumbai City Maharashtra,2025-07-02,7.2,605.6
Mumbai City Maharashtra,2025-07-03,46.4,652.0
Mumbai City Maharashtra,2025-07-04,14.8,666.8
Mumbai City Maharashtra,2025-07-05,9.0,675.8
Mumbai City Maharashtra,2025-07-06,8.4,684.2
Mumbai City Maharashtra,2025-07-07,1.4,685.6
Mumbai City Maharashtra,2025-07-08,0.2,685.8
Mumbai City Maharashtra,2025-07-09,3.0,688.8
Mumbai City Maharashtra,2025-07-10,0.6,689.4
Mumbai City Maharashtra,2025-07-11,0.0,689.4
Mumbai City Maharashtra,2025-07-12,11.4,700.8
Mumbai City Maharashtra,2025-07-13,0.2,701.0
Mumbai City Maharashtra,2025-07-14,14.6,715.6
Mumbai City Maharashtra,2025-07-15,12.2,727.8
Mumbai City Maharashtra,2025-07-16,5.0,732.8
Mumbai City Maharashtra,2025-07-17,0.0,732.8
Mumbai City Maharashtra,2025-07-18,0.0,732.8
Mumbai City Maharashtra,2025-07-19,0.6,733.4
Mumbai City Maharashtra,2025-07-20,1.4,734.8
Mumbai City Maharashtra,2025-07-21,11.2,746.0
Mumbai City Maharashtra,2025-07-22,40.2,786.2
Mumbai City Maharashtra,2025-07-23,86.6,872.8
Mumbai City Maharashtra,2025-07-24,29.0,901.8
Mumbai City Maharashtra,2025-07-25,22.4,924.2
Mumbai City Maharashtra,2025-07-26,17.2,941.4
Mumbai City Maharashtra,2025-07-27,9.0,950.4
Mumbai City Maharashtra,2025-07-28,6.6,957.0
Mumbai City Maharashtra,2025-07-29,2.6,959.6
Mumbai City Maharashtra,2025-07-30,10.8,970.4
Mumbai City Maharashtra,2025-07-31,2.6,973.0
Mumbai City Maharashtra,2025-08-01,0.0,973.0
Mumbai City Maharashtra,2025-08-02,0.0,973.0
Mumbai City Maharashtra,2025-08-03,2.8,975.8
Mumbai City Maharashtra,2025-08-04,0.2,976.6
Mumbai City Maharashtra,2025-08-05,0.0,976.0
Mumbai City Maharashtra,2025-08-06,1.2,977.2
Mumbai City Maharashtra,2025-08-07,10.2,987.4
Mumbai City Maharashtra,2025-08-08,2.6,990.0
Mumbai City Maharashtra,2025-08-09,6.4,996.4
Mumbai City Maharashtra,2025-08-10,1.6,998.0
Mumbai City Maharashtra,2025-08-11,8.4,1006.4
Mumbai City Maharashtra,2025-08-12,8.6,1015.0
Mumbai City Maharashtra,2025-08-13,5.6,1020.6
