location_id,location_name,latitude,longitude,rainfall,water_level,soil_saturation,elevation,slope,imperviousness,drainage_capacity,drainage_capacity_used
L001,Dadar,19.0760,72.8777,15,0.05,0.30,18.2,3.5,0.55,1000,150
L002,Mahim,19.0780,72.8800,40,0.10,0.50,12.5,1.8,0.75,700,350
L003,Worli,19.0800,72.8820,75,0.20,0.70,7.2,0.8,0.90,400,380
L004,Prabhadevi,19.0820,72.8850,110,0.35,0.90,4.1,0.3,0.95,250,250
L005,Matunga,19.0740,72.8750,25,0.06,0.35,16.8,2.8,0.60,900,250
L006,Parel,19.0850,72.8900,55,0.15,0.65,9.5,1.2,0.82,600,450
L007,Dharavi,19.0700,72.8720,90,0.28,0.85,5.5,0.5,0.92,350,330
L008,Shivaji Park,19.0880,72.8950,18,0.03,0.25,20.0,4.0,0.45,1200,180
L009,Sion,19.0680,72.8680,65,0.18,0.70,8.0,0.9,0.88,500,450
L010,Bandra East,19.0920,72.9000,120,0.40,0.95,3.2,0.2,0.97,200,200
