location_id,forecast_minutes,rainfall
L001,0,15
L001,30,20
L001,60,25
L001,120,18
L001,180,12
L002,0,40
L002,30,48
L002,60,55
L002,120,65
L002,180,50
L003,0,75
L003,30,85
L003,60,95
L003,120,105
L003,180,90
L004,0,110
L004,30,120
L004,60,130
L004,120,115
L004,180,90
L005,0,25
L005,30,32
L005,60,40
L005,120,35
L005,180,28
L006,0,50
L006,30,58
L006,60,65
L006,120,72
L006,180,60
L007,0,70
L007,30,82
L007,60,90
L007,120,100
L007,180,85
L008,0,30
L008,30,38
L008,60,45
L008,120,42
L008,180,35
L009,0,90
L009,30,105
L009,60,120
L009,120,110
L009,180,95
L010,0,115
L010,30,130
L010,60,145
L010,120,135
L010,180,120
